id,audio,answer,at,user
0WoG96BlunsHweBNPEXy,8_5.wav,ㅏ,2023-09-28T11:47:02.454Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0XAmm29rQWQxKiFTID2g,8_8.wav,ㅔ,2023-09-27T16:16:34.647Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0XBFbMxuitz2Xz8X3yuh,8_1.wav,ㅗ,2023-09-26T13:33:05.975Z,uwgxF6VQmggSKpqimilzt8CCpM42
0Y3OTdxaUueRooEU6IUT,7_5.wav,ㅓ,2023-09-27T05:43:00.914Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0YHNca4S2oksQUT1xsCb,3_9.wav,ㅣ,2023-09-28T03:54:57.318Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0YYjFhZvD9yElfZmpB8Q,4_5.wav,ㅡ,2023-09-18T23:00:20.561Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0Ys88IE2HMYFvX30TtAY,2_10.wav,ㅣ,2023-09-27T06:03:56.764Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0ZWFh2rlUxGF7CEL5yhX,10_9.wav,ㅐ,2023-09-27T16:40:10.967Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0ZXmTDkMgofaZQiRrlWt,2_4.wav,ㅡ,2023-10-01T14:16:39.065Z,1tRUN17nz8SNpraO34mm0xJ2VS42
0ZiZxWc8x4nYBfILRiOk,1_3.wav,ㅜ,2023-09-28T02:38:23.766Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0Zl6LEXLGc3NDgTwjDHI,8_5.wav,ㅏ,2023-09-29T14:34:54.507Z,LYrFonkX4AVb0UQrELmpCFA72On2
0Zw7dPuZ4P1yEe4RxnK8,6_1.wav,ㅗ,2023-09-30T15:12:47.677Z,zPpgwetVy5WlW9B2XpDJbLDW7f82
0aN4cCFnT6ywA2xT50GA,10_9.wav,ㅐ,2023-09-28T22:30:42.773Z,ZK04e1bLJsXgM7QUlOrHgIzTbFo1
0dDfvGOPInDI2KLaJVGB,3_8.wav,ㅣ,2023-09-29T14:07:52.328Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0dudqLWMvDtohjLKG14d,8_9.wav,ㅔ,2023-09-19T14:03:59.369Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0dzCFuDOiDVtYfKoqiFn,6_10.wav,ㅣ,2023-09-29T14:35:15.584Z,LYrFonkX4AVb0UQrELmpCFA72On2
0eUa8w8iQsuUXl0xRVYw,2_2.wav,ㅗ,2023-10-02T00:47:59.410Z,Do457fhfRKex3AtI5dQ8O2U7WEJ3
0eagMFgSpYwjzjsUj6Iw,8_9.wav,ㅐ,2023-09-27T16:14:27.002Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0ehVC86ttq14uzQ8p8bH,9_6.wav,ㅏ,2023-09-27T15:00:11.752Z,dznwXCu4dMaMrSrKWoUy1QTLQht1
0fWXgTrzmSSl9knyWJ67,10_1.wav,ㅡ,2023-09-30T15:32:55.311Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0g1orRWLcyItCgZYuBia,4_6.wav,ㅔ,2023-09-28T00:54:18.656Z,uwgxF6VQmggSKpqimilzt8CCpM42
0gGMBxH50NCDs1DQ1jOK,7_8.wav,ㅐ,2023-09-28T04:00:10.659Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0gmfOl38o6fE6nkiuJr9,7_1.wav,ㅗ,2023-09-19T06:53:42.400Z,uy7oxru7rrRZZjHJ29jYGrWAP7f1
0gvC4sdbvTIkvPdlWjFp,1_1.wav,ㅜ,2023-09-28T00:54:27.578Z,uwgxF6VQmggSKpqimilzt8CCpM42
0hHftYF0JzC62wUHT5lr,10_6.wav,ㅏ,2023-09-27T01:38:29.154Z,uwgxF6VQmggSKpqimilzt8CCpM42
0hiX57vihBXiKqB70RKC,5_4.wav,ㅜ,2023-09-27T01:40:08.095Z,uwgxF6VQmggSKpqimilzt8CCpM42
0hjKBDL6CTZ0xdJrYP7h,2_1.wav,ㅗ,2023-09-24T07:25:00.896Z,lFlcx6WlifOcfSjFZgdFP7hkVf82
0iAg0D9OOoMvouejSqVK,5_5.wav,ㅡ,2023-09-30T14:21:36.501Z,LYrFonkX4AVb0UQrELmpCFA72On2
0iUlUnX3Li1YZppdAPtj,4_5.wav,ㅡ,2023-09-27T13:25:30.675Z,yWAbgGiM1DcUw2sCCGIGkU1JguX2
0ijOpe5yalf1b53SXB7A,7_8.wav,ㅔ,2023-09-29T14:38:39.884Z,1tRUN17nz8SNpraO34mm0xJ2VS42
